"","PLT_CN","LAT","LON","ELEV","SPCD_202","SPCD_746","SPCD_122","SPCD_814","SPCD_19","SPCD_93","SPCD_65","SPCD_106","SPCD_108","SPCD_18","SOIL_PLT_CN","FIELD_MOIST_SOIL_WT","OVEN_DRY_SOIL_WT","TOTAL_WATER_CONTENT_PCT","BULK_DENSITY","C_ORG_PCT","C_INORG_PCT","C_TOTAL_PCT","N_TOTAL_PCT","TXTRLYR1","TXTRLYR2","FORFLTHK","LTRLRTHK","CONDID","DPTHSBSL","AVGT","JANT","JULT","PPT","VARS","VARW","VARP","VARA","DIFS","DIFW","PPTS","PPTW"
"648",3684214010690,37.577161,-106.643604,9160,0,30,0,0,0,2,0,0,0,0,31673171010690,725.028,435.416,65.53,0.4784,21.5528,0.121,21.6738,0.8848,"2","2",0.4,0.175,1,3,279.308107490505,269.272874645547,290.576108093371,29.272551750001,6.63897985224223,14.3736343374322,1.9950425645757e-05,75.7201795929303,14.9147497932071,13.7079220101605,7.28948297099956,6.43843238053975
"649",3684295010690,37.537182,-106.358391,9560,9,1,0,0,0,0,0,0,0,0,31308095010690,436.408,325.17,28.844,0.51,17.4072,0.0236,17.4308,0.5902,"2","1",1.675,0.625,1,8,279.3483018076,269.386593327161,290.521081265805,29.0349467492101,6.57230917916276,14.4880064834514,2.08069904565495e-05,74.7795136425885,14.9509707383772,13.935043975817,7.66319470270412,5.95599284428955
"650",3684326010690,37.509234,-106.49277,10440,0,7,0,0,10,26,0,0,0,0,31673171010690,725.028,435.416,65.53,0.4784,21.5528,0.121,21.6738,0.8848,"2","2",0.4,0.175,1,3,279.37345730877,269.375725552161,290.576345719013,29.0102407555448,6.57958829891649,14.4297064189801,2.02991101518633e-05,75.194851730076,14.9144231176914,13.8035695357002,7.48334623680219,6.15594538324055
"651",3684417010690,37.715936,-106.648506,8810,5,1,3,0,0,0,0,0,0,0,188759373020004,296.94,252.8,17.735,1.3965,1.7795,0.04,1.8195,0.1295,"0","2",0.6,0.6,1,3.2,279.123003059249,269.095119658782,290.431338453017,29.75207431573,6.68966930589901,14.3479953395652,2.02040509033481e-05,75.7158164078167,14.9657888343596,13.7696195117358,7.30502843799687,6.55966254542953
"652",3684465010690,40.229716,-107.294133,8330,0,27,0,0,0,0,0,0,0,0,188758482020004,195.71,182.51,7.23,1.008,6.326,0.168,6.494,0.492,"1","1",0.6,0.6,1,10,278.270605907614,267.550178211752,290.944565554333,29.553393288053,9.44326437620054,17.6260533430869,1.59873593545637e-05,89.8352666690833,15.2005335936718,12.1276219982942,5.40975885439707,6.71411883824992
"653",3684510010690,40.832966,-107.099927,8580,0,2,0,0,2,12,0,0,0,0,31673292010690,364.196,289.366,21.864,0.568,19.3638,0.0478,19.4116,0.9592,"1","1",1.55,0.425,1,5.9,278.360924335983,267.479662034691,291.296088830775,27.3496015498944,10.3554781496713,19.6884411977896,1.43533418138432e-05,94.0422716862822,15.2054361831143,11.5973609370352,5.1398625056769,5.73569909123145
"654",3684542010690,40.158342,-106.837883,9140,0,21,0,0,0,0,0,0,0,0,5351367010690,925.338,551.444,63.13,0.5232,18.1724,0.0882,18.2606,0.7598,"1","1",1.925,0.875,1,2,278.002423163884,267.533157782674,290.449424051659,30.5274728782839,9.10641194204151,17.6093374627137,1.78549811376906e-05,86.6572653246921,15.2841800300367,12.563864831306,6.14450914444529,6.51565483160284
"655",3684572010690,40.190369,-106.701616,9660,0,0,0,0,13,9,0,0,26,0,5351367010690,925.338,551.444,63.13,0.5232,18.1724,0.0882,18.2606,0.7598,"1","1",1.925,0.875,1,2,277.995157629029,267.578918414291,290.407291536146,30.574518267512,9.12320107173439,17.7879789885693,1.83276332622118e-05,86.2296766784366,15.3122036648431,12.6326514657243,6.33110161717167,6.34098183837805
"656",3684653010690,40.642643,-106.771962,9800,0,0,0,0,7,5,0,0,0,0,5350568010690,388.808,305.586,21.594,0.6616,23.4034,0.0678,23.4712,0.764,"1","1",2.35,0.75,1,10,278.21317923189,267.579343969747,290.91706713392,28.8251925230336,9.92695374988913,19.2162381514032,1.65191750758066e-05,90.6411824099524,15.2650931874765,12.024416637875,5.8118022393672,5.84183472768013
"657",3684678010690,40.049237,-106.990344,9690,0,1,0,0,33,4,0,0,0,0,31309058010690,273.784,201.248,22.506,0.3908,19.6442,0.1134,19.7576,1.2764,"1","1",0.325,0.325,1,15.7,278.032214550286,267.532896387403,290.477180282143,30.7112382881465,9.00315337058638,17.2439915516714,1.76524702861585e-05,86.5690325004235,15.2551287396564,12.5585778093886,6.00605518485248,6.78204307565806
"658",3684744010690,40.905555,-107.255123,8250,0,11,0,0,0,0,0,0,0,0,3680142010690,136.724,123.712,10.412,0.479,18.65,0.1036,18.7536,0.8086,"1","1",0.15,0.15,1,8.1,278.453501240705,267.465262474495,291.483731335716,26.6686294075771,10.5462841132459,19.8654229311882,1.34803325315246e-05,95.4618129522805,15.1877718095418,11.4296060576591,4.86366127912505,5.65459405939393
"659",3684854010690,40.819806,-106.772716,8710,0,1,0,0,0,1,0,0,2,0,5350568010690,388.808,305.586,21.594,0.6616,23.4034,0.0678,23.4712,0.764,"1","1",2.35,0.75,1,10,278.315397967026,267.608920958502,291.119738242471,28.1285623943715,10.2697575623666,19.886001699159,1.59434708321569e-05,92.262657408386,15.2476232756513,11.7978843545847,5.65446888804514,5.60651956790207
"660",3684883010690,40.055576,-106.700674,8960,0,0,0,0,5,1,0,0,54,0,31673468010690,352.376666666667,276.276666666667,24.83,0.972333333333333,9.85133333333333,0.138,9.98933333333333,0.624666666666667,"1","1",2.125,1.05,2,2,277.945591655403,267.581416842573,290.27798513497,31.0010361692684,8.90987019949315,17.4095370917622,1.87516226680185e-05,85.0719796042004,15.3182548834959,12.7896187924605,6.45064597518051,6.48842114969653
"661",3684980010690,40.681517,-106.952354,7520,0,72,0,0,0,0,0,0,0,0,188760468020004,179.87,161.355,13.255,0.8915,6.2175,0.1835,6.401,0.421,"1","2",1.05,0.4,1,17.4,278.248852735319,267.505979076037,291.044463066976,28.3156594337515,10.0319669375,19.2235030159807,1.55317828228245e-05,91.9219220856761,15.2339625587308,11.8644082761506,5.49314099686777,5.89970010163612
"662",3685071010690,40.864039,-106.955958,8730,0,34,0,0,0,0,0,0,15,0,3685071010690,178.27,157.42,13.24,0.87,3.05,0.159,3.209,0.165,"1","1",0,0,1,5.1,278.343389781845,267.523379166795,291.241177208806,27.5478536337632,10.3783856252971,19.9087296432872,1.48886727074584e-05,93.5802999276611,15.2191928830935,11.6412796237561,5.32866945316725,5.6386335110692
"663",3685141010690,40.721913,-107.248623,8250,0,43,0,0,0,0,0,0,0,0,3680142010690,136.724,123.712,10.412,0.479,18.65,0.1036,18.7536,0.8086,"1","1",0.15,0.15,1,8.1,278.377514666215,267.468190143771,291.308665634832,27.5019308826256,10.211866145178,19.1918327594375,1.41834803199314e-05,93.8434418064023,15.1961522401199,11.6355050626819,5.02742864290143,5.94435713253169
"664",3685200010690,40.326434,-106.820574,6960,0,0,0,15,0,0,0,0,0,0,5351367010690,925.338,551.444,63.13,0.5232,18.1724,0.0882,18.2606,0.7598,"1","1",1.925,0.875,1,2,278.061842702799,267.5332645404,290.600807869754,29.9518026224723,9.37321720752535,18.1151734328376,1.73575568649944e-05,88.0358965248574,15.2799579395886,12.382091310876,6.0204802228617,6.29222532491875
"665",3685237010690,37.985128,-106.412555,10020,0,40,0,0,0,6,0,0,0,0,37273683010690,198.014,173.192,15.83,0.7024,26.876,0.0884000000000001,26.9644,0.9514,"3","3",0.325,0.125,1,0.6,278.754341534012,268.807592893593,290.066198728618,30.4695708424025,6.75093445928089,14.4482637965237,2.13649008061504e-05,74.8908836254875,15.1108710058751,14.0864928105887,7.6615221784554,6.35643910751579
"666",3685311010690,38.345738,-106.429202,9610,0,2,0,0,0,0,0,0,102,0,11760898010690,145.094,135.34,6.556,0.5944,22.9624,0.1204,23.0828,0.435,"2","2",0.425,0.425,1,8.8,278.369544175288,268.429883444152,289.796370333569,31.4325395606166,6.96659755442596,14.6169353542913,2.17343417428816e-05,75.2182454010758,15.2165150201955,14.1255818914549,7.65762490851501,6.57467894747009
"667",3685435010690,38.381553,-106.832838,9260,5,0,0,0,0,0,0,0,0,0,188758159020004,126.845,109.925,15.805,0.607,2.7355,0.0965,2.832,0.118,"2","3",0.975,0.8,1,9.6,278.468842322721,268.40189948519,290.045853846259,31.7551340528159,7.14266043725791,14.5322736956594,2.06671192402289e-05,76.9684480783764,15.1240736415296,13.7199090296043,7.08732757583395,7.26402041250349
"668",3685457010690,37.989978,-105.688663,8120,0,0,0,0,0,0,0,34,0,0,40391993010690,267.134,225.28,21.562,0.627,15.078,0.0674,15.1454,0.5138,"1","2",1.475,1.425,2,13.5,279.384890635766,269.558060035377,290.556135180428,29.2109094035091,6.93279202345923,15.4304546113615,2.36849467313082e-05,74.0481855702653,15.2680120272869,14.6754999763334,8.38702159535297,4.89844253131863
